X,Y,TILAVUUS,X,Y,icon_url
23.7646981489807,61.5054228200242,"323","3327954","6826222",./0.png
23.769334168928,61.4915487308821,"323","3328124","6824665",./0.png
-2.96264659413161,-0.001266785126103,"304","0","0",./1.png
23.7582690438023,61.5064645801033,"322","3327617.75","6826355",./2.png
23.776547200185,61.4996411607277,"323","3328552.5","6825547",./0.png
23.7299368991417,61.4715722460815,"322","3325915.5","6822545.5",./2.png
23.8086186000902,61.494917480828,"322","3330233.25","6824937",./2.png
23.8086186000902,61.494917480828,"323","3330233.25","6824937",./0.png
23.8137884372383,61.4920477278663,"323","3330492.75","6824604",./0.png
23.8374979201172,61.4989991443722,"322","3331792.25","6825316.5",./2.png
23.8377308466315,61.4996197544196,"322","3331808","6825385",./2.png
23.8068432810824,61.5108490100876,"332","3330225.75","6826715.5",./3.png
23.8455582722821,61.507497925861,"323","3332267","6826242",./0.png
23.8114478399968,61.4377013415316,"332","3330072","6818559",./3.png
23.8232677876352,61.4309859087688,"332","3330665.75","6817780.5",./3.png
23.7556455627156,61.4934508560987,"322","3327406","6824913",./2.png
23.7529476967496,61.5040027149074,"322","3327321","6826095",./2.png
23.7551901149538,61.4934938989974,"323","3327382","6824919",./0.png
23.7625607385704,61.4985955613684,"323","3327802.5","6825467.5",./0.png
23.761760122196,61.4975301980465,"322","3327754","6825351",./2.png
23.7549014901071,61.493558876827,"322","3327367","6824927",./2.png
23.7547286106134,61.4936400832887,"323","3327358.25","6824936.5",./0.png
23.7551714765815,61.4925010004403,"323","3327375.5","6824808.5",./0.png
23.7628480564464,61.495562166754,"322","3327801","6825129",./2.png
23.7517412904681,61.4970133025911,"322","3327218","6825320",./2.png
23.7481475268794,61.5020919559673,"323","3327055","6825895",./0.png
23.7481858043988,61.5009162907147,"332","3327050.5","6825764",./3.png
23.7478071999655,61.5017515182291,"322","3327035","6825858",./2.png
23.746614674731,61.5001692490555,"323","3326962.75","6825685",./0.png
23.746548162693,61.5006706264796,"323","3326962","6825741",./0.png
23.744388446925,61.5019123864531,"322","3326854","6825885",./2.png
23.7446607427006,61.5007018936433,"323","3326861.75","6825749.5",./0.png
23.7439159878241,61.5017573937435,"322","3326828","6825869",./2.png
23.7412115552845,61.5016478391122,"332","3326683.5","6825864",./3.png
23.7409889271691,61.5015751533585,"332","3326671.25","6825856.5",./3.png
23.7408216245469,61.5013331409577,"322","3326661","6825830",./2.png
23.7496074969461,61.4990910365711,"322","3327116","6825557",./2.png
23.7493123273963,61.4996228861451,"323","3327103.25","6825617",./0.png
23.7483836471921,61.4979885463091,"323","3327044.75","6825437.5",./0.png
23.7473485990255,61.4998454717594,"322","3327000","6825647",./2.png
23.7468301833595,61.499231334085,"323","3326969","6825580",./0.png
23.7478153406391,61.4993356838659,"323","3327022","6825589",./0.png
23.7449583020282,61.4988004258492,"322","3326867","6825537",./2.png
23.7484328980137,61.4982816209309,"322","3327049","6825470",./2.png
23.7487718091355,61.4957569198844,"322","3327053","6825188",./2.png
23.7491615380593,61.4948141780592,"322","3327068.5","6825082",./2.png
23.7517974974135,61.4932334290352,"322","3327200","6824899",./2.png
23.7513024466674,61.4961765417033,"322","3327190","6825228",./2.png
23.7523290015254,61.493722119144,"322","3327231","6824952",./2.png
23.7469198414931,61.4958564207118,"323","3326955","6825204",./0.png
23.7474715504213,61.4930943001384,"322","3326969","6824895",./2.png
23.7498472946668,61.4933755325482,"322","3327097","6824920",./2.png
23.7430752797141,61.4963214324315,"323","3326753","6825266",./0.png
23.7403555029564,61.4951965696911,"322","3326602","6825148",./2.png
23.7393740241557,61.4966730066489,"323","3326558","6825315",./0.png
23.7717529916355,61.5042788293666,"323","3328323","6826076",./0.png
23.7705642518158,61.5064960163933,"322","3328272","6826326",./2.png
23.7711856901774,61.5063041680961,"320","3328304","6826303",./4.png
23.7728533614006,61.5060382994812,"322","3328391.25","6826269",./2.png
23.7588846162786,61.5066004704186,"322","3327651.25","6826368.5",./2.png
23.7681627150694,61.5022896746804,"322","3328121","6825864",./2.png
23.7663899201924,61.5027999781608,"323","3328029.5","6825925.5",./0.png
23.7710853739696,61.5030595050967,"323","3328280.75","6825942",./0.png
23.7691960876749,61.5050086015117,"323","3328191","6826164",./0.png
23.7707426487897,61.5035094359564,"322","3328265","6825993",./2.png
23.7725010918541,61.5016874523929,"300","3328348.5","6825785.5",./5.png
23.7725010918541,61.5016874523929,"322","3328348.5","6825785.5",./2.png
23.7672887399577,61.5000280797688,"323","3328062","6825614.5",./0.png
23.7682545023529,61.4997770539319,"323","3328112","6825584",./0.png
23.7688367507934,61.4999615083354,"323","3328144","6825603",./0.png
23.769168140875,61.5011594033622,"321","3328168.25","6825735.5",./6.png
23.768711918455,61.5009375228359,"323","3328142.75","6825712",./0.png
23.7701137310582,61.4997447930142,"322","3328210.75","6825575.5",./2.png
23.7718316153259,61.500984517647,"323","3328309","6825709",./0.png
23.7720051587838,61.5011233496698,"322","3328319","6825724",./2.png
23.7703769879564,61.5012374559495,"322","3328233","6825741",./2.png
23.7656432314953,61.5007614363737,"322","3327978.5","6825700.5",./2.png
23.7662689981488,61.5008436481337,"321","3328012.25","6825708",./6.png
23.7653408259436,61.4965284928981,"332","3327939","6825230",./3.png
23.7725324332031,61.4954955185407,"322","3328316","6825096",./2.png
23.7658551121071,61.4908554505678,"323","3327935","6824597",./0.png
23.7761236886529,61.5052714486668,"322","3328561","6826175",./2.png
23.7742458034135,61.5052539577898,"322","3328461","6826178",./2.png
23.776331992139,61.5054380407823,"322","3328573","6826193",./2.png
